"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"317",317,317,"Bobby Scott ","House"," D","VA","3",0.121,-0.317,0.157,-0.035
"318",318,318,"Juan Vargas","House"," D","CA","51",0.091,-0.49,0.127,-0.036
"319",319,319,"Mark DeSaulnier","House"," D","CA","11",0.091,-0.488,0.128,-0.037
"320",320,320,"Pete Aguilar","House"," D","CA","31",0.188,-0.211,0.224,-0.037
"321",321,321,"Adriano Espaillat","House"," D","NY","13",0.061,-0.869,0.098,-0.037
"322",322,322,"Ruben Gallego","House"," D","AZ","7",0.094,-0.492,0.131,-0.037
"323",323,323,"Steny H. Hoyer","House"," D","MD","5",0.121,-0.31,0.159,-0.038
"324",324,324,"Filemon Vela","House"," D","TX","34",0.156,-0.215,0.195,-0.039
"325",325,325,"Trey Hollingsworth","House"," R","IN","9",0.939,0.269,0.979,-0.039
"326",326,326,"Diana DeGette","House"," D","CO","1",0.091,-0.458,0.131,-0.04
"327",327,327,"Jim Bridenstine","House"," R","OK","1",0.939,0.287,0.98,-0.041
"328",328,328,"Janice D. Schakowsky","House"," D","IL","9",0.091,-0.452,0.132,-0.041
"329",329,329,"John Ratcliffe","House"," R","TX","4",0.939,0.536,0.98,-0.041
"330",330,330,"Barbara Lee","House"," D","CA","13",0.061,-0.806,0.102,-0.041
"331",331,331,"Adam Smith","House"," D","WA","9",0.1,-0.472,0.142,-0.042
"332",332,332,"Garret Graves","House"," R","LA","6",0.939,0.338,0.982,-0.042
"333",333,333,"Scott DesJarlais","House"," R","TN","4",0.939,0.412,0.982,-0.043
"334",334,334,"Louie Gohmert","House"," R","TX","1",0.938,0.469,0.981,-0.043
"335",335,335,"Mo Brooks","House"," R","AL","5",0.938,0.334,0.981,-0.044
"336",336,336,"Steve King","House"," R","IA","4",0.933,0.274,0.977,-0.044
"337",337,337,"Warren Davidson","House"," R","OH","8",0.938,0.345,0.981,-0.044
"338",338,338,"Mark Sanford","House"," R","SC","1",0.879,0.131,0.924,-0.045
"339",339,339,"Nydia M. Velázquez","House"," D","NY","7",0.063,-0.765,0.108,-0.045
"340",340,340,"Bill Foster","House"," D","IL","11",0.152,-0.235,0.198,-0.046
"341",341,341,"Salud O. Carbajal","House"," D","CA","24",0.182,-0.202,0.229,-0.047
"342",342,342,"Raúl R. Labrador","House"," R","ID","1",0.935,0.383,0.983,-0.047
"343",343,343,"John Lewis","House"," D","GA","5",0.063,-0.731,0.11,-0.048
"344",344,344,"James A. Himes","House"," D","CT","4",0.152,-0.23,0.202,-0.05
"345",345,345,"Yvette D. Clarke","House"," D","NY","9",0.063,-0.691,0.113,-0.051
"346",346,346,"Mark Takano","House"," D","CA","41",0.125,-0.279,0.176,-0.051
"347",347,347,"Suzanne Bonamici","House"," D","OR","1",0.152,-0.228,0.204,-0.052
"348",348,348,"Brian Higgins","House"," D","NY","26",0.188,-0.196,0.24,-0.053
"349",349,349,"Mark Pocan","House"," D","WI","2",0.091,-0.368,0.144,-0.053
"350",350,350,"John B. Larson","House"," D","CT","1",0.125,-0.231,0.179,-0.054
"351",351,351,"Luis V. Gutiérrez","House"," D","IL","4",0.067,-0.689,0.121,-0.054
"352",352,352,"Niki Tsongas","House"," D","MA","3",0.129,-0.228,0.184,-0.055
"353",353,353,"Maxine Waters","House"," D","CA","43",0.061,-0.617,0.116,-0.055
"354",354,354,"Peter Welch","House"," D","VT","0",0.121,-0.264,0.179,-0.057
"355",355,355,"Ron Estes","House"," R","KS","4",0.875,0.272,0.933,-0.058
"356",356,356,"Rick Larsen","House"," D","WA","2",0.152,-0.221,0.21,-0.058
"357",357,357,"Andy Biggs","House"," R","AZ","5",0.909,0.211,0.968,-0.059
"358",358,358,"Debbie Wasserman Schultz","House"," D","FL","23",0.121,-0.261,0.18,-0.059
"359",359,359,"Alcee L. Hastings","House"," D","FL","20",0.067,-0.621,0.127,-0.06
"360",360,360,"Jamie Raskin","House"," D","MD","8",0.091,-0.337,0.151,-0.06
"361",361,361,"Keith Ellison","House"," D","MN","5",0.061,-0.552,0.121,-0.061
"362",362,362,"Vicente Gonzalez","House"," D","TX","15",0.212,-0.167,0.276,-0.064
"363",363,363,"Bobby L. Rush","House"," D","IL","1",0.133,-0.54,0.204,-0.071
"364",364,364,"Joseph P. Kennedy III","House"," D","MA","4",0.121,-0.242,0.193,-0.071
"365",365,365,"Richard E. Neal","House"," D","MA","1",0.152,-0.207,0.224,-0.072
"366",366,366,"Matt Gaetz","House"," R","FL","1",0.909,0.393,0.982,-0.073
"367",367,367,"John J. Duncan Jr.","House"," R","TN","2",0.909,0.354,0.982,-0.073
"368",368,368,"Lois Frankel","House"," D","FL","21",0.172,-0.195,0.246,-0.074
"369",369,369,"Seth Moulton","House"," D","MA","6",0.182,-0.179,0.258,-0.076
"370",370,370,"Nita M. Lowey","House"," D","NY","17",0.152,-0.202,0.229,-0.078
"371",371,371,"A. Donald McEachin","House"," D","VA","4",0.125,-0.216,0.208,-0.083
"372",372,372,"Justin Amash","House"," R","MI","3",0.788,0.094,0.881,-0.093
"373",373,373,"Jared Polis","House"," D","CO","2",0.121,-0.213,0.217,-0.096
"374",374,374,"Sanford D. Bishop Jr.","House"," D","GA","2",0.281,-0.117,0.378,-0.097
"375",375,375,"Jerry McNerney","House"," D","CA","9",0.152,-0.186,0.249,-0.097
"376",376,376,"Raúl M. Grijalva","House"," D","AZ","3",0.061,-0.299,0.163,-0.102
"377",377,377,"John K. Delaney","House"," D","MD","6",0.188,-0.161,0.29,-0.102
"378",378,378,"Kathy Castor","House"," D","FL","14",0.156,-0.182,0.26,-0.104
"379",379,379,"Theodore E. Deutch","House"," D","FL","22",0.161,-0.158,0.272,-0.111
"380",380,380,"James P. McGovern","House"," D","MA","2",0.121,-0.194,0.238,-0.117
"381",381,381,"André Carson","House"," D","IN","7",0.1,-0.228,0.22,-0.12
"382",382,382,"Bonnie Watson Coleman","House"," D","NJ","12",0.03,-0.332,0.152,-0.122
"383",383,383,"Ed Perlmutter","House"," D","CO","7",0.242,-0.12,0.366,-0.124
"384",384,384,"Suzan K. DelBene","House"," D","WA","1",0.152,-0.163,0.283,-0.131
"385",385,385,"Louise McIntosh Slaughter","House"," D","NY","25",0.115,-0.164,0.255,-0.139
"386",386,386,"Rosa L. DeLauro","House"," D","CT","3",0.152,-0.155,0.296,-0.145
"387",387,387,"Stephanie N. Murphy","House"," D","FL","7",0.333,-0.073,0.484,-0.15
"388",388,388,"Ben Ray Luján","House"," D","NM","3",0.152,-0.151,0.303,-0.152
"389",389,389,"John A. Yarmuth","House"," D","KY","3",0.152,-0.15,0.305,-0.153
"390",390,390,"Chellie Pingree","House"," D","ME","1",0.156,-0.148,0.313,-0.157
"391",391,391,"Michelle Lujan Grisham","House"," D","NM","1",0.121,-0.165,0.279,-0.158
"392",392,392,"Darren Soto","House"," D","FL","9",0.182,-0.129,0.346,-0.165
"393",393,393,"Ami Bera","House"," D","CA","7",0.212,-0.114,0.38,-0.167
"394",394,394,"John Garamendi","House"," D","CA","3",0.182,-0.126,0.353,-0.171
"395",395,395,"Derek Kilmer","House"," D","WA","6",0.182,-0.123,0.359,-0.177
"396",396,396,"Emanuel Cleaver","House"," D","MO","5",0.138,-0.135,0.316,-0.179
"397",397,397,"Christopher H. Smith","House"," R","NJ","4",0.758,0.148,0.938,-0.18
"398",398,398,"Paul Tonko","House"," D","NY","20",0.161,-0.135,0.344,-0.182
"399",399,399,"Thomas Massie","House"," R","KY","4",0.788,0.359,0.982,-0.194
"400",400,400,"Denny Heck","House"," D","WA","10",0.182,-0.114,0.38,-0.198
"401",401,401,"Peter J. Visclosky","House"," D","IN","1",0.152,-0.126,0.353,-0.201
"402",402,402,"Frank Pallone Jr.","House"," D","NJ","6",0.091,-0.156,0.294,-0.203
"403",403,403,"William R. Keating","House"," D","MA","9",0.182,-0.107,0.396,-0.214
"404",404,404,"Lisa Blunt Rochester","House"," D","DE","0",0.152,-0.114,0.379,-0.227
"405",405,405,"Kurt Schrader","House"," D","OR","5",0.313,-0.042,0.572,-0.26
"406",406,406,"Raul Ruiz","House"," D","CA","36",0.182,-0.088,0.444,-0.262
"407",407,407,"Thomas R. Suozzi","House"," D","NY","3",0.219,-0.061,0.511,-0.292
"408",408,408,"Kathleen M. Rice","House"," D","NY","4",0.121,-0.096,0.423,-0.302
"409",409,409,"Tom O'Halleran","House"," D","AZ","1",0.394,0.011,0.715,-0.321
"410",410,410,"Tim Ryan","House"," D","OH","13",0.182,-0.065,0.506,-0.324
"411",411,411,"Walter B. Jones","House"," R","NC","3",0.643,0.236,0.971,-0.328
"412",412,412,"James R. Langevin","House"," D","RI","2",0.152,-0.071,0.489,-0.338
"413",413,413,"Sander M. Levin","House"," D","MI","9",0.121,-0.078,0.47,-0.349
"414",414,414,"Josh Gottheimer","House"," D","NJ","5",0.364,0.011,0.715,-0.351
"415",415,415,"Charlie Crist","House"," D","FL","13",0.242,-0.032,0.598,-0.356
"416",416,416,"Collin C. Peterson","House"," D","MN","7",0.613,0.308,0.98,-0.367
"417",417,417,"Ruben J. Kihuen","House"," D","NV","4",0.152,-0.049,0.55,-0.399
"418",418,418,"Daniel T. Kildee","House"," D","MI","5",0.161,-0.042,0.576,-0.414
"419",419,419,"Elizabeth H. Esty","House"," D","CT","5",0.152,-0.041,0.573,-0.422
"420",420,420,"Ann M. Kuster","House"," D","NH","2",0.182,-0.024,0.621,-0.439
"421",421,421,"Joe Courtney","House"," D","CT","2",0.152,-0.029,0.607,-0.455
"422",422,422,"Jacky Rosen","House"," D","NV","3",0.242,0.01,0.712,-0.47
"423",423,423,"Sean Patrick Maloney","House"," D","NY","18",0.212,0.019,0.735,-0.523
"424",424,424,"Cheri Bustos","House"," D","IL","17",0.182,0.007,0.705,-0.523
"425",425,425,"Peter A. DeFazio","House"," D","OR","4",0.156,-0.001,0.686,-0.53
"426",426,426,"Carol Shea-Porter","House"," D","NH","1",0.152,0.016,0.728,-0.576
"427",427,427,"Ron Kind","House"," D","WI","3",0.212,0.045,0.795,-0.582
"428",428,428,"David Loebsack","House"," D","IA","2",0.182,0.041,0.786,-0.604
"429",429,429,"Matt Cartwright","House"," D","PA","17",0.219,0.101,0.891,-0.672
"430",430,430,"Timothy J. Walz","House"," D","MN","1",0.212,0.149,0.938,-0.726
"431",431,431,"Richard M. Nolan","House"," D","MN","8",0.182,0.156,0.943,-0.762
