"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"75",75,75,"Tom Reed","House"," R","NY","23",1,0.148,0.938,0.062
"76",76,76,"Mike Bost","House"," R","IL","12",1,0.148,0.938,0.062
"77",77,77,"John J. Faso","House"," R","NY","19",0.909,0.073,0.848,0.061
"78",78,78,"Paul Cook","House"," R","CA","8",1,0.151,0.94,0.06
"79",79,79,"Peter T. King","House"," R","NY","2",0.935,0.091,0.875,0.06
"80",80,80,"Earl L. ""Buddy"" Carter","House"," R","GA","1",1,0.155,0.94,0.06
"81",81,81,"Jaime Herrera Beutler","House"," R","WA","3",0.909,0.074,0.85,0.059
"82",82,82,"Anna G. Eshoo","House"," D","CA","18",0.182,-0.532,0.123,0.059
"83",83,83,"Andy Barr","House"," R","KY","6",1,0.153,0.941,0.059
"84",84,84,"Steve Stivers","House"," R","OH","15",1,0.154,0.942,0.058
"85",85,85,"Claudia Tenney","House"," R","NY","22",1,0.155,0.943,0.057
"86",86,86,"Scott R. Tipton","House"," R","CO","3",0.97,0.12,0.913,0.057
"87",87,87,"Charles W. Dent","House"," R","PA","15",0.909,0.076,0.853,0.056
"88",88,88,"Adam B. Schiff","House"," D","CA","28",0.182,-0.498,0.126,0.055
"89",89,89,"Bill Pascrell Jr.","House"," D","NJ","9",0.212,-0.312,0.158,0.054
"90",90,90,"Lee M. Zeldin","House"," R","NY","1",0.97,0.123,0.916,0.054
"91",91,91,"Joe Barton","House"," R","TX","6",0.969,0.123,0.915,0.054
"92",92,92,"Rick W. Allen","House"," R","GA","12",1,0.162,0.947,0.053
"93",93,93,"David Scott","House"," D","GA","13",0.194,-0.444,0.141,0.053
"94",94,94,"Mike Quigley","House"," D","IL","5",0.182,-0.466,0.13,0.052
"95",95,95,"Mike Thompson","House"," D","CA","5",0.182,-0.449,0.132,0.05
"96",96,96,"Brad Sherman","House"," D","CA","30",0.188,-0.434,0.138,0.049
"97",97,97,"Gregory W. Meeks","House"," D","NY","5",0.167,-0.73,0.118,0.049
