GEO_ID,NAME,DP02_0001E,DP02_0059PE,DP02_0151E,DP02_0151M,DP02_0151PE,DP02_0151PM,DP02_0152E,DP02_0152M,DP02_0152PE,DP02_0152PM
0500000US19171,"Tama County, Iowa",6755,4.2,5856,163,86.7,1.6,5013,171,74.2,2.2
0500000US19173,"Taylor County, Iowa",2650,3.9,2167,87,81.8,2.0,1875,106,70.8,3.2
0500000US19175,"Union County, Iowa",5194,3.3,4332,193,83.4,2.9,3820,199,73.5,3.5
0500000US19177,"Van Buren County, Iowa",2863,5.5,2223,142,77.6,3.3,1819,132,63.5,3.6
0500000US19179,"Wapello County, Iowa",14418,4.8,12048,331,83.6,1.5,10585,335,73.4,2.1
0500000US19181,"Warren County, Iowa",18959,1.0,17258,292,91.0,1.0,15576,323,82.2,1.4
0500000US19183,"Washington County, Iowa",8720,4.7,7533,257,86.4,2.2,6617,257,75.9,2.5
0500000US19185,"Wayne County, Iowa",2669,6.8,2042,104,76.5,2.8,1842,102,69.0,2.7
0500000US19187,"Webster County, Iowa",15208,2.6,12684,334,83.4,1.6,11391,329,74.9,1.7
0500000US19189,"Winnebago County, Iowa",4605,3.0,3916,158,85.0,2.3,3497,189,75.9,2.9
0500000US19191,"Winneshiek County, Iowa",8205,2.3,7109,209,86.6,1.8,6465,225,78.8,2.2
0500000US19193,"Woodbury County, Iowa",38975,6.1,33580,614,86.2,1.1,29504,660,75.7,1.4
0500000US19195,"Worth County, Iowa",3170,2.6,2614,102,82.5,2.2,2332,96,73.6,2.6
0500000US19197,"Wright County, Iowa",5690,2.6,4499,175,79.1,2.6,3881,188,68.2,3.1
